#module;#attribute
IUP::Text;MASKCASEI
IUP::Text;MASKFLOAT
IUP::Text;MASKINT
IUP::Text;MULTILINE
IUP::Text;NC
IUP::Text;OLD_MASK_DATA
IUP::Text;OVERWRITE
IUP::Text;PADDING
IUP::Text;PASSWORD
IUP::Text;READONLY
IUP::Text;REMOVEFORMATTING
IUP::Text;SCROLLBAR
IUP::Text;SCROLLTO
IUP::Text;SCROLLTOPOS
IUP::Text;SELECTEDTEXT
IUP::Text;SELECTION
IUP::Text;SELECTIONPOS
IUP::Text;SPIN
IUP::Text;SPINALIGN
IUP::Text;SPINAUTO
IUP::Text;SPININC
IUP::Text;SPINMAX
IUP::Text;SPINMIN
IUP::Text;SPINVALUE
IUP::Text;SPINWRAP
IUP::Text;TABSIZE
IUP::Text;VALUE
IUP::Text;VALUEMASKED
IUP::Text;VISIBLECOLUMNS
IUP::Text;VISIBLELINES
IUP::Text;WIDGETPANGOLAYOUT
IUP::Text;WORDWRAP
IUP::Timer;RUN
IUP::Timer;TIME
IUP::Toggle;3STATE
IUP::Toggle;ALIGNMENT
IUP::Toggle;BACKGROUND
IUP::Toggle;BGCOLOR
IUP::Toggle;FGCOLOR
IUP::Toggle;FLAT
IUP::Toggle;FLAT_ALPHA
IUP::Toggle;IMAGE
IUP::Toggle;IMINACTIVE
IUP::Toggle;IMPRESS
IUP::Toggle;MARKUP
IUP::Toggle;PADDING
IUP::Toggle;RADIO
IUP::Toggle;RIGHTBUTTON
IUP::Toggle;SELECTCOLOR
IUP::Toggle;TITLE
IUP::Toggle;VALUE
IUP::Tree;ADDBRANCH
IUP::Tree;ADDEXPANDED
IUP::Tree;ADDLEAF
IUP::Tree;ADDROOT
IUP::Tree;AUTOREDRAW
IUP::Tree;BGCOLOR
IUP::Tree;CHILDCOUNT
IUP::Tree;COLOR
IUP::Tree;COPYNODE
IUP::Tree;COUNT
IUP::Tree;CTRL
IUP::Tree;DELNODE
IUP::Tree;DEPTH
IUP::Tree;DRAGDROP
IUP::Tree;DROPEQUALDRAG
IUP::Tree;EXPANDALL
IUP::Tree;FGCOLOR
IUP::Tree;FLAT_ALPHA
IUP::Tree;IMAGE
IUP::Tree;IMAGEBRANCHCOLLAPSED
IUP::Tree;IMAGEBRANCHEXPANDED
IUP::Tree;IMAGEEXPANDED
IUP::Tree;IMAGELEAF
IUP::Tree;INDENTATION
IUP::Tree;INSERTBRANCH
IUP::Tree;INSERTLEAF
IUP::Tree;KIND
IUP::Tree;LASTADDNODE
IUP::Tree;MARK
IUP::Tree;MARKED
IUP::Tree;MARKEDNODES
IUP::Tree;MARKMODE
IUP::Tree;MARKSTART
IUP::Tree;MOVENODE
IUP::Tree;PARENT
IUP::Tree;RENAME
IUP::Tree;RENAMENODE
IUP::Tree;RUBBERBAND
IUP::Tree;SHIFT
IUP::Tree;SHOWDRAGDROP
IUP::Tree;SHOWRENAME
IUP::Tree;SPACING
IUP::Tree;STARTING
IUP::Tree;STATE
IUP::Tree;TITLE
IUP::Tree;TITLEFONT
IUP::Tree;TOPITEM
IUP::Tree;TOTALCHILDCOUNT
IUP::Tree;USERDATA
IUP::Tree;VALU
IUP::Tree;VALUE
IUP::TuioClient;CONNECT
IUP::TuioClient;DEBUG
IUP::TuioClient;TARGETCANVAS
IUP::User;CLEARATTRIBUTES
IUP::Val;BACKGROUND
IUP::Val;BGCOLOR
IUP::Val;HANDLER_IMAGE
IUP::Val;HANDLER_IMAGE_INACTIVE
IUP::Val;INVERTED
IUP::Val;MAX
IUP::Val;MIN
IUP::Val;ORIENTATION
IUP::Val;PAGESTEP
IUP::Val;SHOWTICKS
IUP::Val;STEP
IUP::Val;TICKSPOS
IUP::Val;TYPE
IUP::Val;VALUE
IUP::Vbox;ALIGNMENT
IUP::WebBrowser;BACKCOUNT
IUP::WebBrowser;BACKFORWARD
IUP::WebBrowser;BGCOLOR
IUP::WebBrowser;FORWARDCOUNT
IUP::WebBrowser;HTML
IUP::WebBrowser;ITEMHISTOR
IUP::WebBrowser;ITEMHISTORY
IUP::WebBrowser;RELOAD
IUP::WebBrowser;STATUS
IUP::WebBrowser;STOP
IUP::WebBrowser;VALUE
IUP::Zbox;ACENTER
IUP::Zbox;ALIGNMENT
IUP::Zbox;EAST
IUP::Zbox;NE
IUP::Zbox;NORTH
IUP::Zbox;NW
IUP::Zbox;SE
IUP::Zbox;SOUTH
IUP::Zbox;SW
IUP::Zbox;VALUE
IUP::Zbox;VALUEPOS
IUP::Zbox;VALUE_HANDLE
IUP::Zbox;WEST
_base;ACTIVE
_base;CANFOCUS
_base;CHARSIZE
_base;CX
_base;CY
_base;EXPAND
_base;EXPANDWEIGHT
_base;FLOATING
_base;FONT
_base;FONTFACE
_base;FONTSIZE
_base;FONTSTYLE
_base;HFONT
_base;MAXSIZE
_base;MINSIZE
_base;NAME
_base;NORMALIZERGROUP
_base;PANGOFONTDESC
_base;PANGOLAYOUT
_base;POSITION
_base;RASTERSIZE
_base;SCREENPOSITION
_base;SIZE
_base;STANDARDFONT
_base;TIP
_base;TIPBGCOLOR
_base;TIPDELAY
_base;TIPFGCOLOR
_base;TIPVISIBLE
_base;VISIBLE
_base;WID
_base;X
_base;XFONTID
_base;XFONTSTRUCT
_base;XMFONTLIST
_base;Y
_base;ZORDER
_box;CGAP
_box;CLIENTOFFSET
_box;CLIENTSIZE
_box;CMARGIN
_box;EXPANDCHILDREN
_box;GAP
_box;HOMOGENEOUS
_box;MARGIN
_box;NCGAP
_box;NCMARGIN
_box;NGAP
_box;NMARGIN
_box;NORMALIZESIZE
_dialog;ACTIVEWINDOW
_dialog;BACKGROUND
_dialog;BGCOLOR
_dialog;BORDER
_dialog;BRINGFRONT
_dialog;CLIENTOFFSET
_dialog;CLIENTSIZE
_dialog;COMPOSITED
_dialog;CONTROL
_dialog;CURSOR
_dialog;DEFAULTENTER
_dialog;DEFAULTESC
_dialog;DIALOGFRAME
_dialog;DIALOGHINT
_dialog;DRAGDROP
_dialog;FULLSCREEN
_dialog;HELPBUTTON
_dialog;HIDETASKBAR
_dialog;HWND
_dialog;ICON
_dialog;IMPORTANT
_dialog;LAYERALPHA
_dialog;MAXBOX
_dialog;MDIACTIVATE
_dialog;MDIACTIVE
_dialog;MDIARRANGE
_dialog;MDICHILD
_dialog;MDICLIENT
_dialog;MDICLOSEALL
_dialog;MDIFRAME
_dialog;MDIMENU
_dialog;MDINEXT
_dialog;MENU
_dialog;MENUBOX
_dialog;MINBOX
_dialog;MODAL
_dialog;NATIVEPARENT
_dialog;OPACITY
_dialog;PARENTDIALOG
_dialog;PLACEMENT
_dialog;RESIZE
_dialog;SAVEUNDER
_dialog;SHRINK
_dialog;STARTFOCUS
_dialog;TITLE
_dialog;TOOLBOX
_dialog;TOPMOST
_dialog;TRAY
_dialog;TRAYIMAGE
_dialog;TRAYTIP
_dialog;XWINDOW
